Census Tract,CE01totcounts,CE02totcounts,CE03totcounts,C000totcounts,ct,CE01Percent,CE02Percent,CE03Percent,TractLabel
001600,4995,6332,7524,18851,001600,0.2649726804944035,0.33589729987799055,0.39913001962760597,5
001700,2558,3564,4781,10903,001700,0.23461432633220214,0.32688250940108227,0.4385031642667156,5
001701,258,384,247,889,001701,0.29021372328458944,0.43194600674915634,0.2778402699662542,4
001702,293,481,407,1181,001702,0.2480948348856901,0.4072819644369179,0.34462320067739205,5
001800,3950,5289,5684,14923,001800,0.26469208604168065,0.35441935267707564,0.3808885612812437,5
001801,765,825,1800,3390,001801,0.22566371681415928,0.24336283185840707,0.5309734513274337,6
001802,437,571,863,1871,001802,0.2335649385355425,0.30518439337252806,0.46125066809192944,5
001900,2701,3767,4957,11425,001900,0.2364113785557987,0.32971553610503285,0.43387308533916846,5
001901,264,354,693,1311,001901,0.20137299771167047,0.2700228832951945,0.528604118993135,6
001902,302,397,768,1467,001902,0.2058623040218132,0.27062031356509886,0.523517382413088,6
002000,4422,5953,6224,16599,002000,0.2664015904572565,0.3586360624133984,0.3749623471293451,5
002001,273,356,676,1305,002001,0.20919540229885059,0.2727969348659004,0.518007662835249,6
002002,308,372,784,1464,002002,0.2103825136612022,0.2540983606557377,0.5355191256830601,6
002100,2709,3562,7778,14049,002100,0.19282511210762332,0.25354117730799347,0.5536337105843833,6
002101,691,845,1238,2774,002101,0.249098774333093,0.3046142754145638,0.44628695025234316,5
002103,291,311,815,1417,002103,0.205363443895554,0.21947776993648554,0.5751587861679605,6
002104,447,573,1315,2335,002104,0.19143468950749465,0.24539614561027837,0.563169164882227,6
002105,173,200,445,818,002105,0.2114914425427873,0.24449877750611246,0.5440097799511002,6
002106,254,372,616,1242,002106,0.20450885668276972,0.2995169082125604,0.49597423510466987,6
002107,159,224,475,858,002107,0.1853146853146853,0.26107226107226106,0.5536130536130536,6
002200,2190,3040,3042,8272,002200,0.2647485493230174,0.36750483558994196,0.3677466150870406,5
002201,944,1226,2023,4193,002201,0.22513713331743382,0.29239208204149775,0.48247078464106846,6
002202,645,728,1878,3251,002202,0.1984004921562596,0.22393109812365425,0.5776684097200862,6
002203,154,207,417,778,002203,0.19794344473007713,0.2660668380462725,0.5359897172236504,6
002204,393,408,1072,1873,002204,0.20982381206620396,0.21783235451147892,0.5723438334223171,6
002300,3586,4747,4189,12522,002300,0.2863759782782303,0.379092796677847,0.3345312250439227,5
002400,1936,2770,1833,6539,002400,0.29606973543355253,0.4236121731151552,0.2803180914512923,4
002401,168,226,427,821,002401,0.2046285018270402,0.27527405602923266,0.5200974421437271,6
002402,292,335,864,1491,002402,0.19584171696847752,0.22468142186452045,0.579476861167002,6
002403,527,662,1264,2453,002403,0.2148389726865063,0.2698736241337138,0.5152874031797798,6
002404,272,376,629,1277,002404,0.21299921691464369,0.29444009397024273,0.4925606891151135,6
002405,274,375,685,1334,002405,0.20539730134932535,0.2811094452773613,0.5134932533733133,6
002500,2103,2886,1843,6832,002500,0.3078161592505855,0.422423887587822,0.2697599531615925,1
002502,302,325,206,833,002502,0.3625450180072029,0.39015606242497,0.24729891956782712,1
002600,1226,1778,1652,4656,002600,0.26331615120274915,0.38187285223367695,0.3548109965635739,5
002601,424,596,808,1828,002601,0.23194748358862144,0.32603938730853393,0.4420131291028446,5
