Census Tract,CE01totcounts,CE02totcounts,CE03totcounts,C000totcounts,ct,CE01Percent,CE02Percent,CE03Percent,TractLabel
000100,2950,3512,5720,12182,000100,0.24216056476769005,0.288294204564111,0.469545230668199,6
000101,522,759,785,2066,000101,0.2526621490803485,0.3673765730880929,0.3799612778315586,5
000103,705,964,947,2616,000103,0.2694954128440367,0.36850152905198774,0.36200305810397554,5
000104,30,39,29,98,000104,0.30612244897959184,0.3979591836734694,0.29591836734693877,1
000110,496,632,418,1546,000110,0.3208279430789133,0.4087968952134541,0.2703751617076326,1
000200,3971,5239,4086,13296,000200,0.2986612515042118,0.3940282791817088,0.3073104693140794,5
000201,1093,1537,1555,4185,000201,0.26117084826762244,0.36726403823178017,0.3715651135005974,5
000202,1085,1320,2031,4436,000202,0.24458972046889088,0.2975653742110009,0.4578449053201082,6
000203,292,374,641,1307,000203,0.2234123947972456,0.2861514919663351,0.4904361132364193,6
000300,2821,3831,3892,10544,000300,0.2675455235204856,0.36333459787556904,0.36911987860394535,5
000301,465,403,1536,2404,000301,0.19342762063227953,0.16763727121464225,0.6389351081530782,6
000400,2157,3195,3033,8385,000400,0.25724508050089445,0.3810375670840787,0.36171735241502684,5
000401,929,1220,1727,3876,000401,0.23968008255933954,0.31475748194014447,0.445562435500516,5
000402,1209,1640,2277,5126,000402,0.23585641825985174,0.31993757315645727,0.44420600858369097,5
000403,378,633,899,1910,000403,0.19790575916230366,0.33141361256544505,0.4706806282722513,5
000404,61,64,80,205,000404,0.2975609756097561,0.3121951219512195,0.3902439024390244,5
000500,1980,2336,2877,7193,000500,0.27526762129848464,0.3247601835117475,0.39997219518976784,5
000501,1233,1519,2103,4855,000501,0.2539649845520082,0.3128733264675592,0.43316168898043256,5
000502,861,1083,1915,3859,000502,0.22311479657942473,0.2806426535371858,0.4962425498833895,6
000600,5387,6866,7099,19352,000600,0.27836916081025215,0.3547953699875982,0.36683546920214966,5
000700,4629,5649,10673,20951,000700,0.22094410767982436,0.26962913464751087,0.5094267576726648,6
000701,348,487,948,1783,000701,0.195176668536175,0.27313516545148625,0.5316881660123387,6
000702,424,591,1018,2033,000702,0.2085587801278898,0.29070339399901624,0.5007378258730939,6
000800,3740,4301,4447,12488,000800,0.29948750800768736,0.3444106342088405,0.35610185778347214,5
000801,541,721,1622,2884,000801,0.1875866851595007,0.25,0.5624133148404993,6
000802,237,336,569,1142,000802,0.2075306479859895,0.29422066549912435,0.4982486865148862,6
000803,441,688,1134,2263,000803,0.1948740609809987,0.3040212107821476,0.5011047282368537,5
000900,2991,3966,6667,13624,000900,0.21953904873752203,0.29110393423370523,0.48935701702877277,6
001000,3940,5144,4519,13603,001000,0.2896419907373374,0.3781518782621481,0.3322061310005146,5
001001,140,154,489,783,001001,0.17879948914431673,0.1966794380587484,0.6245210727969349,6
001002,608,816,523,1947,001002,0.3122752953261428,0.41910631741140214,0.26861838726245507,1
001100,3052,3786,4252,11090,001100,0.2752028854824166,0.34138863841298467,0.3834084761045987,5
001101,284,452,380,1116,001101,0.25448028673835127,0.4050179211469534,0.34050179211469533,5
001102,462,714,748,1924,001102,0.24012474012474014,0.3711018711018711,0.3887733887733888,5
001200,2025,2648,3188,7861,001200,0.25760081414578295,0.3368528177076708,0.40554636814654627,5
001300,2056,2406,5300,9762,001300,0.21061257938946937,0.2464658881376767,0.5429215324728539,6
001301,310,450,786,1546,001301,0.20051746442432083,0.2910737386804657,0.5084087968952135,6
001302,324,541,649,1514,001302,0.21400264200792601,0.357331571994716,0.428665785997358,5
001303,511,749,835,2095,001303,0.24391408114558472,0.3575178997613365,0.39856801909307876,5
001400,2322,3179,3226,8727,001400,0.2660708147129598,0.36427180016042165,0.36965738512661855,5
001401,572,742,1719,3033,001401,0.18859215298384438,0.24464226838114078,0.5667655786350149,6
001402,953,1152,1247,3352,001402,0.28430787589498807,0.3436754176610978,0.3720167064439141,5
001403,252,363,589,1204,001403,0.20930232558139536,0.3014950166112957,0.489202657807309,5
001500,3223,4162,5917,13302,001500,0.24229439182077883,0.3128852804089611,0.4448203277702601,5
001501,402,495,2018,2915,001501,0.1379073756432247,0.16981132075471697,0.6922813036020583,6
001502,603,788,3773,5164,001502,0.1167699457784663,0.15259488768396592,0.7306351665375678,6
