Census Tract,CE01totcounts,CE02totcounts,CE03totcounts,C000totcounts,ct,CE01Percent,CE02Percent,CE03Percent,TractLabel
000100,3319,3926,8045,15290,000100,0.2170699803793329,0.25676913015042513,0.526160889470242,6
000101,458,801,686,1945,000101,0.23547557840616967,0.41182519280205654,0.3526992287917738,5
000103,608,816,907,2331,000103,0.26083226083226085,0.35006435006435005,0.3891033891033891,5
000104,26,34,26,86,000104,0.3023255813953488,0.3953488372093023,0.3023255813953488,3
000110,366,442,293,1101,000110,0.33242506811989103,0.4014532243415077,0.26612170753860126,1
000200,4028,5531,4382,13941,000200,0.2889319274083638,0.3967434186930636,0.31432465389857256,5
000201,974,1442,1395,3811,000201,0.2555759643138284,0.3783783783783784,0.3660456573077932,5
000202,1032,1330,2107,4469,000202,0.23092414410382636,0.29760572835086146,0.47147012754531215,6
000203,243,382,616,1241,000203,0.19580983078162773,0.30781627719580984,0.49637389202256244,5
000300,3071,4236,4629,11936,000300,0.25728887399463807,0.35489276139410186,0.38781836461126007,5
000301,332,310,1394,2036,000301,0.16306483300589392,0.15225933202357564,0.6846758349705304,6
000400,2499,3526,3609,9634,000400,0.2593938135769151,0.36599543284201785,0.37461075358106705,5
000401,905,1172,1698,3775,000401,0.23973509933774834,0.3104635761589404,0.4498013245033113,5
000402,1182,1572,2396,5150,000402,0.2295145631067961,0.30524271844660195,0.4652427184466019,5
000403,514,684,991,2189,000403,0.23481041571493833,0.3124714481498401,0.45271813613522155,5
000404,178,182,228,588,000404,0.30272108843537415,0.30952380952380953,0.3877551020408163,3
000500,1781,2451,2868,7100,000500,0.25084507042253523,0.3452112676056338,0.40394366197183096,5
000501,1239,1657,2234,5130,000501,0.2415204678362573,0.3230019493177388,0.4354775828460039,5
000502,992,1157,2080,4229,000502,0.2345708205249468,0.27358713643887445,0.4918420430361788,6
000600,5419,7151,7592,20162,000600,0.2687729391925404,0.35467711536553914,0.37654994544192044,5
000700,4877,6045,13013,23935,000700,0.20376018383120953,0.2525590139962398,0.5436808021725507,6
000701,267,443,879,1589,000701,0.16803020767778476,0.27879169288860917,0.5531780994336061,6
000702,375,573,1033,1981,000702,0.18929833417465927,0.28924785461887936,0.5214538112064614,6
000800,3783,4522,4813,13118,000800,0.2883823753620979,0.3447171824973319,0.3669004421405702,5
000801,436,599,1515,2550,000801,0.17098039215686275,0.23490196078431372,0.5941176470588235,6
000802,239,329,556,1124,000802,0.21263345195729538,0.29270462633451955,0.49466192170818507,6
000803,434,564,1030,2028,000803,0.21400394477317555,0.2781065088757396,0.5078895463510849,6
000900,3144,3760,7049,13953,000900,0.22532788647602667,0.2694760983301082,0.5051960151938651,6
